,Unnamed: 0,asset,price bought,time bought,signal,mfi bought,normalized mfi bought,price sold,time sold,mfi sold,normalized mfi sold,mfi roc bought,mfi roc sold
0,1,ATOM,35.28,2022-01-25 16:43:25.813005,0.2403957034007892,48.74188566140296,0.5080305612126265,35.18,2022-01-25 16:44:35.571046,38.35395392262077,0.3886683480881825,,
1,1,,,,,,,0.2269,2022-01-25 19:56:30.619945,7.619708249167509,0.0368608290936305,,
2,1,,,,,,,0.2271,2022-01-25 19:55:13.408534,11.14168226291116,0.07886064937553,,
3,1,NEO,17.9,2022-01-25 17:24:48.711304,0.087415836857767,43.67861347405192,0.4498511864216523,17.92,2022-01-25 17:40:56.732130,25.10915488383499,0.2364793883017258,,
4,1,ATOM,34.7,2022-01-25 23:16:11.536694,0.358932972300394,38.77027937424404,0.3312859107884498,34.58,2022-01-26 01:30:56.109478,10.78160211716934,0.0698308583264122,,
5,1,FTM,2.3082,2022-01-25 21:09:52.398088,0.4610611247078592,53.80476786587251,0.5876213389784181,2.2929,2022-01-25 21:51:08.759582,16.563644355848076,0.1435179786431494,,
6,1,UNI,10.58,2022-01-25 19:37:03.576990,0.1425667693295039,59.880155705213134,0.6600708222509872,10.45,2022-01-25 19:53:49.540214,12.638229604826387,0.0967070954760744,,
7,1,OXT,0.2368,2022-02-02 15:43:52.622846,0.4480011159743418,45.03403139922453,0.4169085366578703,0.2366,2022-02-02 16:09:33.326482,27.78994514295993,0.0918767528349974,0.936495227849681,0.6927310002422605
8,1,,,,,,,149.1,2022-01-25 17:55:39.323238,50.55865341343737,0.5289060757105077,,
9,1,OXT,0.2356,2022-02-02 16:10:46.846317,0.3662535235027098,18.08412511475453,0.0875552060713674,0.2356,2022-02-02 16:10:47.445771,18.08412511475453,0.0875552060713674,0.396560016088659,0.396560016088659
